Timestamp,Query,Category
2026-06-17 17:33:45,How many days do I have to return an item if the screen is broken?,Refunds & Returns
2026-06-17 17:36:14,Can I get my package in 2 days if I pay extra?,Shipping & Delivery
2026-06-17 17:36:43,Can I get my package in a days if I pay extra?,Shipping & Delivery
2026-06-17 17:37:25,What happens if I order a smartphone at 7:00 PM?,Shipping & Delivery
2026-06-17 17:40:00,How much does the Premium Elite membership cost per year?,Memberships & Rewards
2026-06-17 19:57:49,What is your policy on international shipping to New York?,Shipping & Delivery
2026-06-17 19:58:34,Do Premium Elite members get any discounts at checkout?,Memberships & Rewards
2026-06-19 19:54:07,what company is this,General Inquiry
2026-06-19 19:54:25,whom are you working for,General Inquiry
2026-06-19 19:54:36,tell me its name,General Inquiry
2026-06-19 19:54:50,is it an electronnic company,General Inquiry
2026-06-19 19:55:34,your policies,General Inquiry
2026-06-19 19:55:45,your security,General Inquiry
2026-06-19 19:56:07,your company  security,General Inquiry
2026-06-19 19:56:25,your company  security policies,General Inquiry
2026-06-19 19:56:35,policies,General Inquiry
2026-06-19 19:57:28,what time ihave to report to avail refund ,Refunds & Returns
2026-06-19 19:57:32,what time i have to report to avail refund ,Refunds & Returns
2026-06-19 19:58:01,How much does the Premium Elite membership cost per year?,Memberships & Rewards
2026-06-19 20:07:05,How much does the Premium Elite membership cost per year?,Memberships & Rewards
2026-06-19 20:07:19,account security policy,General Inquiry
2026-06-19 20:07:32,what company is this,General Inquiry
2026-06-19 20:07:50,all policies,General Inquiry
2026-06-19 20:08:05,refund policies,Refunds & Returns
